%RecordDate (EST)	InstrumentID	Height	AHD Level
%day month year hour min Height AHD_level

13 9 20 0 24		0.593392551	-0.416607449
13 9 20 0 30		0.608972311	-0.401027689
13 9 20 0 36		0.617944539	-0.392055461
13 9 20 0 42		0.644166172	-0.365833828
13 9 20 0 48		0.64938271	-0.36061729
13 9 20 0 54		0.657729208	-0.352270792
13 9 20 1 00		0.660441637	-0.349558363
13 9 20 1 06		0.670805037	-0.339194963
13 9 20 1 12		0.70168674	-0.30831326
13 9 20 1 18		0.726030111	-0.283969889
13 9 20 1 24		0.740984201	-0.269015799
13 9 20 1 30		0.749469757	-0.260530243
13 9 20 1 36		0.785150409	-0.224849591
13 9 20 1 42		0.805390298	-0.204609702
13 9 20 1 48		0.821248293	-0.188751707
13 9 20 1 54		0.799200118	-0.210799882
13 9 20 2 00		0.825908542	-0.184091458
13 9 20 2 06		0.847748339	-0.162251661
13 9 20 2 12		0.863815129	-0.146184871
13 9 20 2 18		0.869448721	-0.140551279
13 9 20 2 24		0.896644056	-0.113355944
13 9 20 2 30		0.920917928	-0.089082072
13 9 20 2 36		0.936289251	-0.073710749
13 9 20 2 42		0.957294345	-0.052705655
13 9 20 2 48		0.971343994	-0.038656006
13 9 20 2 54		1.003199577	-0.006800423
13 9 20 3 00		1.01815331	0.00815331
13 9 20 3 06		1.023717642	0.013717642
13 9 20 3 12		1.030742407	0.020742407
13 9 20 3 18		1.042218685	0.032218685
13 9 20 3 24		1.047852516	0.037852516
13 9 20 3 30		1.045348644	0.035348644
13 9 20 3 36		1.050217271	0.040217271
13 9 20 3 42		1.052512646	0.042512646
13 9 20 3 48		1.066840291	0.056840291
13 9 20 3 54		1.081585884	0.071585884
13 9 20 4 00		1.100365162	0.090365162
13 9 20 4 06		1.111563206	0.101563206
13 9 20 4 12		1.123874187	0.113874187
13 9 20 4 18		1.125960827	0.115960827
13 9 20 4 24		1.137367606	0.127367606
13 9 20 4 30		1.144113898	0.134113898
13 9 20 4 36		1.137785077	0.127785077
13 9 20 4 42		1.125891089	0.115891089
13 9 20 4 48		1.120048404	0.110048404
13 9 20 4 54		1.118935704	0.108935704
13 9 20 5 00		1.107390046	0.097390046
13 9 20 5 06		1.095913649	0.085913649
13 9 20 5 12		1.105303526	0.095303526
13 9 20 5 18		1.124676943	0.114676943
13 9 20 5 24		1.128256202	0.118256202
13 9 20 5 30		1.112119794	0.102119794
13 9 20 5 36		1.109685302	0.099685302
13 9 20 5 42		1.099252343	0.089252343
13 9 20 5 48		1.076578021	0.066578021
13 9 20 5 54		1.05439043	0.04439043
13 9 20 6 00		1.067535877	0.057535877
13 9 20 6 06		1.06781435	0.05781435
13 9 20 6 12		1.042149186	0.032149186
13 9 20 6 18		1.005285978	-0.004714022
13 9 20 6 24		0.989984393	-0.020015607
13 9 20 6 30		0.990753472	-0.019246528
13 9 20 6 36		0.983307302	-0.026692698
13 9 20 6 42		0.95597297	-0.05402703
13 9 20 6 48		0.969952822	-0.040047178
13 9 20 6 54		0.971483231	-0.038516769
13 9 20 7 00		0.955625117	-0.054374883
13 9 20 7 06		0.931351006	-0.078648994
13 9 20 7 12		0.919179499	-0.090820501
13 9 20 7 18		0.903251767	-0.106748233
13 9 20 7 24		0.877147436	-0.132852564
13 9 20 7 30		0.857694209	-0.152305791
13 9 20 7 36		0.850947499	-0.159052501
13 9 20 7 42		0.844618261	-0.165381739
13 9 20 7 48		0.820691943	-0.189308057
13 9 20 7 54		0.804625154	-0.205374846
13 9 20 8 00		0.799756527	-0.210243473
13 9 20 8 06		0.785289764	-0.224710236
13 9 20 8 12		0.760180891	-0.249819109
13 9 20 8 18		0.752669096	-0.257330904
13 9 20 8 24		0.741818845	-0.268181155
13 9 20 8 30		0.740497351	-0.269502649
13 9 20 8 36		0.71775353	-0.29224647
13 9 20 8 42		0.696192086	-0.313807914
13 9 20 8 48		0.67838639	-0.33161361
13 9 20 8 54		0.680264235	-0.329735765
13 9 20 9 00		0.659537435	-0.350462565
13 9 20 9 06		0.63797611	-0.37202389
13 9 20 9 12		0.647504687	-0.362495313
13 9 20 9 18		0.653625488	-0.356374512
13 9 20 9 24		0.646739602	-0.363260398
13 9 20 9 30		0.633802891	-0.376197109
13 9 20 9 36		0.621005058	-0.388994942
13 9 20 9 42		0.616692662	-0.393307338
13 9 20 9 48		0.621004999	-0.388995001
13 9 20 9 54		0.618292391	-0.391707609
13 9 20 10 00		0.620309472	-0.389690528
13 9 20 10 06		0.603268981	-0.406731019
13 9 20 10 12		0.593879223	-0.416120777
13 9 20 10 18		0.590749383	-0.419250617
13 9 20 10 24		0.594505429	-0.415494571
13 9 20 10 30		0.613006413	-0.396993587
13 9 20 10 36		0.63074255	-0.37925745
13 9 20 10 42		0.636167765	-0.373832235
13 9 20 10 48		0.642288268	-0.367711732
13 9 20 10 54		0.648617625	-0.361382375
13 9 20 11 00		0.650634527	-0.359365473
13 9 20 11 06		0.652860403	-0.357139597
13 9 20 11 12		0.654738367	-0.355261633
13 9 20 11 18		0.657868326	-0.352131674
13 9 20 11 24		0.666423142	-0.343576858
13 9 20 11 30		0.67796886	-0.33203114
13 9 20 11 36		0.691392839	-0.318607161
13 9 20 11 42		0.715040743	-0.294959257
13 9 20 11 48		0.736602485	-0.273397515
13 9 20 11 54		0.746131122	-0.263868878
13 9 20 12 00		0.769848764	-0.240151236
13 9 20 12 06		0.792453647	-0.217546353
13 9 20 12 12		0.821387529	-0.188612471
13 9 20 12 18		0.832933187	-0.177066813
13 9 20 12 24		0.84934783	-0.16065217
13 9 20 12 30		0.864719152	-0.145280848
13 9 20 12 36		0.884124577	-0.125875423
13 9 20 12 42		0.897478521	-0.112521479
13 9 20 12 48		0.912850082	-0.097149918
13 9 20 12 54		0.939071536	-0.070928464
13 9 20 13 00		0.958894074	-0.051105926
